1: water: V/L sat. T=5, to 370, C

                          Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        
Temperature  Pressure     Density      Density      Enthalpy     Enthalpy     Entropy      Entropy      Therm. Cond. Therm. Cond. Viscosity    Viscosity    Surf. Tension
(C)          (kPa)        (kg/m^3)     (kg/m^3)     (kJ/kg)      (kJ/kg)      (kJ/kg-K)    (kJ/kg-K)    (W/m-K)      (W/m-K)      (uPa-s)      (uPa-s)      (N/m)
43,000       8,6508       991,00       0,059474     180,07       2578,9       0,61225      8,1998       0,63471      0,019823     617,81       10,399       0,069106
43,500       8,8790       990,79       0,060950     182,16       2579,8       0,61886      8,1906       0,63537      0,019860     612,25       10,414       0,069024
44,000       9,1124       990,59       0,062457     184,25       2580,6       0,62545      8,1815       0,63604      0,019898     606,77       10,430       0,068942
44,500       9,3510       990,38       0,063995     186,34       2581,5       0,63204      8,1724       0,63669      0,019937     601,37       10,445       0,068859
45,000       9,5950       990,17       0,065565     188,43       2582,4       0,63861      8,1633       0,63734      0,019975     596,05       10,461       0,068777
45,500       9,8444       989,96       0,067168     190,53       2583,3       0,64518      8,1543       0,63799      0,020013     590,81       10,476       0,068694
46,000       10,099       989,75       0,068803     192,62       2584,2       0,65173      8,1453       0,63863      0,020052     585,64       10,492       0,068611
46,500       10,360       989,54       0,070473     194,71       2585,1       0,65828      8,1364       0,63926      0,020090     580,55       10,507       0,068528
47,000       10,627       989,32       0,072176     196,80       2586,0       0,66481      8,1275       0,63989      0,020129     575,52       10,523       0,068445
47,500       10,899       989,11       0,073914     198,89       2586,9       0,67134      8,1186       0,64052      0,020168     570,57       10,538       0,068362
48,000       11,177       988,89       0,075688     200,98       2587,8       0,67785      8,1098       0,64114      0,020207     565,69       10,554       0,068279
48,500       11,461       988,67       0,077497     203,07       2588,6       0,68435      8,1010       0,64175      0,020246     560,88       10,569       0,068195
49,000       11,752       988,44       0,079343     205,16       2589,5       0,69085      8,0922       0,64236      0,020286     556,13       10,585       0,068112
49,500       12,049       988,22       0,081226     207,25       2590,4       0,69733      8,0835       0,64296      0,020325     551,45       10,601       0,068028
50,000       12,352       988,00       0,083147     209,34       2591,3       0,70381      8,0748       0,64355      0,020365     546,83       10,616       0,067944
50,500       12,662       987,77       0,085106     211,43       2592,2       0,71027      8,0662       0,64414      0,020404     542,28       10,632       0,067860
51,000       12,978       987,54       0,087103     213,52       2593,1       0,71673      8,0576       0,64473      0,020444     537,79       10,648       0,067776
51,500       13,301       987,31       0,089140     215,62       2593,9       0,72317      8,0490       0,64531      0,020484     533,36       10,663       0,067691
52,000       13,631       987,08       0,091217     217,71       2594,8       0,72961      8,0404       0,64588      0,020525     528,99       10,679       0,067607
52,500       13,968       986,85       0,093335     219,80       2595,7       0,73604      8,0319       0,64645      0,020565     524,67       10,695       0,067522
53,000       14,312       986,61       0,095494     221,89       2596,6       0,74245      8,0234       0,64702      0,020605     520,42       10,711       0,067438
53,500       14,664       986,37       0,097695     223,98       2597,5       0,74886      8,0150       0,64757      0,020646     516,22       10,727       0,067353
54,000       15,022       986,14       0,099938     226,07       2598,3       0,75526      8,0066       0,64813      0,020687     512,08       10,743       0,067268
54,500       15,388       985,90       0,10223      228,16       2599,2       0,76164      7,9982       0,64867      0,020728     507,99       10,758       0,067183
55,000       15,762       985,66       0,10456      230,26       2600,1       0,76802      7,9898       0,64922      0,020769     503,96       10,774       0,067098
55,500       16,144       985,41       0,10693      232,35       2601,0       0,77439      7,9815       0,64975      0,020810     499,98       10,790       0,067012
56,000       16,533       985,17       0,10935      234,44       2601,8       0,78075      7,9732       0,65028      0,020851     496,05       10,806       0,066927
56,500       16,930       984,92       0,11182      236,53       2602,7       0,78710      7,9650       0,65081      0,020893     492,17       10,822       0,066841
57,000       17,336       984,68       0,11433      238,62       2603,6       0,79344      7,9568       0,65133      0,020934     488,34       10,838       0,066755
57,500       17,749       984,43       0,11689      240,72       2604,5       0,79977      7,9486       0,65185      0,020976     484,56       10,854       0,066670
58,000       18,171       984,18       0,11950      242,81       2605,3       0,80610      7,9404       0,65236      0,021018     480,83       10,870       0,066584
58,500       18,602       983,92       0,12216      244,90       2606,2       0,81241      7,9323       0,65286      0,021060     477,15       10,886       0,066497
59,000       19,041       983,67       0,12486      246,99       2607,1       0,81871      7,9242       0,65336      0,021102     473,51       10,902       0,066411
59,500       19,489       983,42       0,12762      249,09       2608,0       0,82501      7,9162       0,65386      0,021144     469,92       10,918       0,066325
60,000       19,946       983,16       0,13043      251,18       2608,8       0,83129      7,9081       0,65435      0,021187     466,38       10,935       0,066238
60,500       20,413       982,90       0,13328      253,27       2609,7       0,83757      7,9002       0,65483      0,021229     462,88       10,951       0,066152
61,000       20,888       982,64       0,13620      255,37       2610,6       0,84384      7,8922       0,65531      0,021272     459,42       10,967       0,066065
61,500       21,373       982,38       0,13916      257,46       2611,4       0,85009      7,8843       0,65578      0,021315     456,00       10,983       0,065978
62,000       21,867       982,12       0,14218      259,55       2612,3       0,85634      7,8764       0,65625      0,021358     452,63       10,999       0,065891
62,500       22,371       981,86       0,14525      261,65       2613,2       0,86258      7,8685       0,65672      0,021401     449,30       11,015       0,065804
63,000       22,885       981,59       0,14838      263,74       2614,0       0,86882      7,8607       0,65718      0,021445     446,01       11,032       0,065716
63,500       23,409       981,33       0,15156      265,83       2614,9       0,87504      7,8528       0,65763      0,021488     442,76       11,048       0,065629
